label,c1,c2,h2,intensity
peak485,17.179,23.574,1.052,8585741
peak486,20.915,23.574,1.059,1714686
peak487,19.912,23.575,1.053,822407
peak488,26.300,23.579,1.061,5969856
peak489,25.686,23.575,1.059,6488316
peak490,23.755,23.572,1.061,13766082
peak491,23.192,23.192,0.836,10658562
peak492,19.331,23.191,0.834,1560028
peak493,20.779,23.192,0.836,1299641
peak494,24.434,23.196,0.832,257634
peak495,16.829,16.829,1.219,4261626
peak496,20.149,16.824,1.213,1625328
peak497,27.603,16.829,1.212,660397
peak498,23.125,16.829,1.214,433553
peak499,17.081,17.081,0.287,2854393
peak500,24.393,17.085,0.281,465071
peak501,23.647,17.087,0.287,3817961
peak502,24.263,17.087,0.287,567676
peak503,22.868,22.864,1.138,8437335
peak504,20.762,22.868,1.138,2398257
peak505,17.186,17.221,1.399,10904800
peak506,20.445,17.225,1.400,575001
peak507,20.762,20.761,0.775,9458084
peak508,22.868,20.762,0.775,2088817
peak509,24.796,24.796,-0.236,1360888
peak510,22.070,24.795,-0.235,803183
peak511,22.322,24.793,-0.232,1387588
peak512,22.489,24.794,-0.236,1068830
peak513,22.418,24.796,-0.231,1469401
peak514,22.418,22.416,-0.061,1676046
peak515,22.070,22.418,-0.061,653387
peak516,22.322,22.415,-0.067,1864313
peak517,23.962,22.415,-0.061,375249
peak518,24.796,22.418,-0.064,506447
peak519,24.516,22.415,-0.061,396034
peak520,24.516,24.513,-0.174,1666889
peak521,22.070,24.516,-0.171,928580
peak522,22.322,24.513,-0.171,844910
peak523,23.962,24.514,-0.174,378813
peak524,22.418,24.513,-0.175,683723
peak525,21.465,24.516,-0.174,1923251
peak526,23.125,23.125,-0.202,1406871
peak527,23.192,23.126,-0.204,1247384
peak528,24.434,23.125,-0.204,950640
peak529,27.244,23.125,-0.202,201708
peak530,13.562,13.562,0.105,32035294
