label,c1,c2,h2,short_range,intensity
peak141,23.021000,26.808001,0.946000,,7147683.000000
peak142,12.563000,26.813999,0.945000,,8904146.000000
peak143,24.368000,26.816000,0.946000,x,31145234.000000
peak144,27.618999,26.826000,0.946000,,3479140.000000
peak145,17.202999,26.816000,0.946000,x,29059488.000000
peak147,24.693001,12.560000,0.580000,,10139381.000000
peak148,26.815001,12.576000,0.583000,,7112834.000000
peak149,24.374001,12.568000,0.580000,,13710818.000000
peak150,27.663000,12.571000,0.580000,x,65137856.000000
peak151,23.371000,12.579000,0.580000,,7280950.000000
peak152,17.037001,12.565000,0.581000,,21443104.000000
peak153,17.197001,12.569000,0.580000,x,90061880.000000
peak154,11.973000,12.569000,0.579000,,24997182.000000
peak155,23.837000,12.565000,0.581000,,2502556.000000
peak157,24.723000,24.426001,0.890000,,16822320.000000
peak158,26.813000,24.406000,0.890000,x,25779814.000000
peak159,12.569000,24.409000,0.890000,,11424364.000000
peak160,23.030001,24.396999,0.893000,,3170636.000000
peak161,27.636999,24.462000,0.890000,,1097797.000000
peak162,17.197001,24.410999,0.890000,x,23948490.000000
peak164,26.855000,22.923000,0.778000,,1233568.000000
peak166,24.709999,27.722000,0.969000,,2153135.000000
peak167,12.573000,27.688999,0.961000,x,39891252.000000
peak168,25.516001,27.695999,0.960000,,838783.000000
peak169,23.368000,27.677000,0.959000,,3620612.000000
peak170,17.011999,27.687000,0.962000,x,18691392.000000
peak171,17.230000,27.695999,0.960000,,7202450.000000
peak172,11.974000,27.687000,0.962000,x,25472834.000000
peak173,23.944000,27.695999,0.960000,,950286.000000
peak175,17.054001,17.610001,2.021000,,9188413.000000
peak176,13.200000,17.596001,2.024000,x,22597358.000000
peak178,27.622999,23.740000,0.179000,,1593080.000000
peak179,25.511999,23.719999,0.176000,x,13956880.000000
peak180,23.370001,23.795000,0.181000,,7503984.000000
peak181,14.168000,23.724001,0.177000,x,19251444.000000
peak182,17.011999,23.719000,0.177000,x,31800160.000000
peak183,12.019000,23.795000,0.181000,,585630.000000
peak185,12.582000,24.881001,-0.317000,,1813035.000000
peak186,23.789000,24.923000,-0.313000,,1591771.000000
peak187,13.152000,24.872000,-0.312000,,3700106.000000
peak188,25.534000,24.886999,-0.313000,x,11877035.000000
peak189,23.368000,24.877001,-0.313000,,3496800.000000
peak190,17.006001,24.896999,-0.313000,,3652126.000000
peak191,12.019000,24.923000,-0.313000,,659555.000000
peak193,23.789000,13.149000,0.722000,,2408542.000000
peak194,24.858000,13.154000,0.719000,,3628586.000000
peak195,21.070000,13.163000,0.725000,,4219827.000000
peak196,25.448999,13.148000,0.720000,x,29901420.000000
peak197,14.230000,13.149000,0.722000,,2967606.000000
peak198,23.073000,13.149000,0.722000,,7064870.000000
peak199,22.802999,13.148000,0.720000,x,59451736.000000
peak202,21.143999,21.464001,0.725000,x,25632862.000000
peak204,13.143000,21.150999,0.888000,,753815.000000
peak205,21.458000,21.150000,0.886000,x,28207722.000000
peak206,25.455999,21.150999,0.888000,,1585605.000000
peak207,23.073000,21.150000,0.887000,x,14401094.000000
peak208,22.822001,21.150000,0.888000,,2744924.000000
peak209,24.917000,25.462000,0.834000,,6189496.000000
peak210,21.268999,25.444000,0.832000,,1939583.000000
peak212,23.370001,25.462000,0.835000,x,5546897.000000
peak213,14.230000,25.461000,0.834000,,3921511.000000
peak214,23.073000,25.462000,0.833000,,3061527.000000
peak215,22.822001,25.462999,0.834000,x,16162894.000000
peak216,23.944000,25.480000,0.834000,,2364106.000000
peak218,23.789000,25.520000,0.846000,x,15803952.000000
peak219,24.917000,25.521999,0.848000,x,9756977.000000
peak220,23.436001,25.521000,0.847000,x,4265908.000000
peak221,14.230000,25.521999,0.848000,x,10784538.000000
peak222,17.054001,25.523001,0.845000,,3571224.000000
peak223,22.805000,25.521999,0.848000,x,15183027.000000
peak225,23.789000,23.375999,0.890000,,4606489.000000
peak226,25.516001,23.375000,0.891000,x,7107796.000000
peak227,14.230000,23.375999,0.890000,,4531014.000000
peak228,22.805000,23.374001,0.891000,,16026778.000000
peak229,24.033001,23.375999,0.891000,,1259718.000000
peak231,12.612000,23.440001,0.795000,,2615542.000000
peak232,27.690001,23.441999,0.797000,,2369674.000000
peak233,23.789000,23.441000,0.796000,,8592729.000000
peak234,24.917000,23.441999,0.796000,,879831.000000
peak235,17.054001,23.440001,0.797000,x,8897382.000000
peak237,23.789000,14.234000,0.735000,x,31207480.000000
peak238,25.516001,14.236000,0.737000,x,24919658.000000
peak239,23.370001,14.236000,0.736000,,14094697.000000
peak240,17.054001,14.235000,0.737000,x,26004790.000000
peak241,12.996000,14.236000,0.736000,,3502613.000000
peak243,12.572000,17.010000,2.014000,,14346905.000000
peak244,27.665001,17.017000,2.016000,x,38696368.000000
peak245,17.604000,17.059999,2.016000,,10401080.000000
peak246,23.732000,17.017000,2.018000,x,53976104.000000
peak247,24.875000,17.016001,2.017000,,5829581.000000
peak248,25.521999,17.021000,2.015000,,14439151.000000
peak249,23.385000,17.018000,2.017000,x,25802000.000000
peak250,14.169000,17.014999,2.017000,x,54022012.000000
peak251,13.227000,17.059999,2.016000,,2402895.000000
peak252,11.973000,17.013000,2.017000,,11891219.000000
peak254,17.565001,13.173000,0.871000,x,16392010.000000
peak256,24.664000,17.179001,1.844000,,12972460.000000
peak257,26.811001,17.186001,1.843000,x,37846568.000000
peak258,12.568000,17.181999,1.843000,x,132105384.000000
peak259,24.372999,17.181000,1.843000,x,38189304.000000
peak260,22.945000,17.183001,1.842000,,2042977.000000
peak261,27.666000,17.183001,1.842000,,12986077.000000
peak262,11.976000,17.177000,1.842000,,6191914.000000
peak264,23.549000,11.974000,0.100000,,5432463.000000
peak265,24.691999,11.970000,0.099000,,3923512.000000
peak266,13.917000,11.972000,0.101000,,1475006.000000
peak267,12.559000,11.977000,0.098000,,21541254.000000
peak268,27.665001,11.978000,0.099000,x,32220484.000000
peak269,24.868999,11.993000,0.097000,,2876371.000000
peak270,17.017000,11.974000,0.100000,,8626550.000000
peak271,17.230000,11.972000,0.101000,,3068324.000000
peak272,23.891001,11.978000,0.099000,x,53627600.000000
peak275,23.075001,21.875000,0.787000,,2619019.000000
peak277,13.862000,21.754000,0.626000,x,21106752.000000
peak280,23.555000,23.950001,0.654000,,5809092.000000
peak281,24.662001,23.865999,0.651000,x,3490277.000000
peak282,27.653999,23.896999,0.654000,,1369591.000000
peak283,11.977000,23.881001,0.652000,x,36657388.000000
peak284,21.673000,23.950001,0.654000,,1902976.000000
peak286,21.162001,22.778999,0.986000,,1652404.000000
peak287,12.463000,22.778999,0.986000,,3840812.000000
peak289,19.417999,21.221001,0.578000,,1092420.000000
peak290,22.773001,21.221001,0.578000,,1345252.000000
peak291,12.402000,21.177999,0.578000,x,31248358.000000
peak292,17.583000,21.202999,0.578000,,1980914.000000
peak294,13.343000,25.671000,0.900000,x,7411886.000000
peak295,26.027000,25.743999,0.898000,,6485704.000000
peak296,10.198000,25.743999,0.898000,,2187240.000000
peak297,22.972000,25.723000,0.899000,x,13678345.000000
peak299,24.497999,14.033000,0.922000,,3716959.000000
peak300,21.906000,14.092000,0.923000,,1956382.000000
peak301,12.255000,14.049000,0.922000,x,102226968.000000
peak302,23.509001,14.042000,0.926000,,2934432.000000
peak304,24.516001,22.914000,0.959000,,3094883.000000
peak305,10.267000,22.913000,0.955000,x,25426904.000000
peak306,22.562000,22.931000,0.955000,,11795836.000000
peak308,24.539000,23.537001,0.699000,,495016.000000
peak309,14.541000,23.547001,0.702000,,6616370.000000
peak310,10.160000,23.525000,0.699000,x,19625004.000000
peak311,13.928000,23.524000,0.699000,x,19708552.000000
peak312,27.218000,23.534000,0.700000,x,25109266.000000
peak313,24.059999,23.537001,0.699000,x,3818836.000000
peak315,14.577000,27.256001,1.010000,,2127109.000000
peak316,13.364000,27.256001,1.010000,,1740648.000000
peak317,26.162001,27.239000,1.010000,x,4972158.000000
peak318,23.488001,27.247000,1.012000,x,21091808.000000
peak319,13.966000,27.256001,1.010000,,2606749.000000
peak320,10.165000,27.242001,1.011000,x,32063358.000000
peak321,24.021999,27.256001,1.010000,,4690226.000000
peak322,21.910000,27.226000,1.011000,,3948518.000000
peak323,22.226000,27.240999,1.015000,,4322204.000000
peak324,23.013000,27.256001,1.010000,,1369421.000000
peak326,24.995001,24.007999,1.076000,x,18712816.000000
peak327,10.162000,24.004999,1.074000,x,45211612.000000
peak328,23.531000,24.066000,1.074000,x,2059894.000000
peak329,27.214001,24.007999,1.076000,,7348408.000000
peak330,21.906000,24.011000,1.075000,x,18652754.000000
peak331,25.878000,24.014000,1.075000,,4746384.000000
peak333,23.493000,21.948000,0.765000,,2709586.000000
peak334,10.198000,21.945000,0.767000,,11376669.000000
peak335,27.250000,21.948000,0.766000,,6136076.000000
peak336,24.059999,21.948999,0.767000,x,16811828.000000
peak337,22.271999,21.930000,0.768000,,17059676.000000
peak338,23.013000,21.948000,0.767000,x,2839929.000000
peak339,19.388000,21.947001,0.766000,,3186695.000000
peak340,25.856001,21.948000,0.767000,,2585862.000000
peak342,13.404000,22.215000,0.911000,,2415906.000000
peak343,26.150999,22.224001,0.912000,,5771388.000000
peak344,23.458000,22.218000,0.911000,x,22393122.000000
peak345,10.218000,22.221001,0.913000,,2097576.000000
peak346,27.205999,22.219999,0.913000,,4243510.000000
peak347,24.059999,22.260000,0.913000,,1863245.000000
peak348,21.941999,22.260000,0.913000,,20852246.000000
peak349,22.976999,22.207001,0.913000,,4033227.000000
peak351,13.364000,23.018000,0.757000,,4874804.000000
peak352,26.146999,23.018000,0.757000,,1192105.000000
peak353,10.198000,23.018999,0.758000,,1905874.000000
peak354,25.738001,23.018999,0.759000,x,13725070.000000
peak355,21.941999,23.018999,0.758000,x,2051462.000000
peak356,22.254000,23.017000,0.758000,,4646410.000000
peak357,23.548000,23.018999,0.759000,,2052086.000000
