label,c1,c2,h2,short_range,intensity
peak231,25.386999,26.032000,0.838000,,10100000.000000
peak232,24.789000,24.132999,0.953000,,2760000.000000
peak233,22.164000,27.568001,0.819000,,4650000.000000
peak234,27.566000,22.188999,0.911000,,3090000.000000
peak235,25.034000,23.615000,0.920000,,24600000.000000
peak236,23.627001,25.030001,0.921000,,63200000.000000
peak237,24.858000,13.338000,0.904000,,4790000.000000
peak238,25.038000,13.338000,0.903000,,4850000.000000
peak239,23.191999,11.928000,0.947000,,4700000.000000
peak240,22.143999,26.802999,0.860000,,6310000.000000
peak241,25.377001,24.431999,0.722000,,8120000.000000
peak242,25.389000,26.080999,0.716000,,6920000.000000
peak243,25.018000,22.146999,0.775000,,7420000.000000
peak244,22.136000,24.993000,0.922000,,9950000.000000
peak245,23.625000,24.843000,0.921000,x,128000000.000000
peak246,23.556000,25.011000,0.930000,,67000000.000000
peak247,24.438000,24.000999,0.687000,,6160000.000000
peak248,23.302999,25.041000,1.002000,x,106000000.000000
peak249,12.564000,22.400000,0.093000,,1830000.000000
peak250,22.396999,12.561000,-0.379000,,2950000.000000
short_peak104,27.146000,24.542000,0.725000,x,2330000.000000
