label,c1,c2,h2,intensity
peak139,24.961,25.417,0.256,8.47E+06
peak140,24.152,25.390,0.253,2.83E+06
peak141,26.757,25.452,0.253,1.54E+06
peak142,26.136,25.404,0.257,3.28E+06
peak143,26.158,23.588,0.622,1.12E+06
peak144,14.682,23.608,0.625,9.23E+05
peak145,14.728,23.206,0.723,2.22E+06
peak146,14.308,23.196,0.723,1.26E+06
peak147,23.973,23.188,0.725,1.96E+06
peak148,25.384,22.707,0.877,1.90E+06
peak149,27.977,22.721,0.880,1.39E+06
peak150,14.288,22.833,0.955,2.75E+06
peak151,25.571,22.849,0.954,2.27E+06
peak152,14.686,22.967,0.953,4.75E+06
peak153,23.918,22.859,0.956,6.06E+06
peak154,22.163,22.634,0.985,2.49E+06
peak155,21.783,22.766,0.957,6.78E+06
peak156,22.137,22.766,0.959,7.53E+06
peak157,22.201,23.023,1.011,3.76E+06
peak158,21.092,22.993,1.015,1.02E+06
peak159,26.131,23.759,0.919,2.98E+06
peak160,27.907,24.139,0.988,4.16E+06
peak161,27.149,24.217,0.991,4.23E+06
peak162,21.075,23.934,0.987,3.08E+06
peak163,14.290,23.903,0.988,1.59E+06
peak164,26.115,24.113,1.025,1.33E+06
peak165,25.767,24.190,1.026,3.65E+06
peak166,27.924,24.157,1.024,1.09E+06
peak167,14.691,23.987,0.862,4.58E+06
peak168,13.811,24.815,0.906,2.26E+06
peak169,13.791,25.200,0.846,1.55E+06
peak170,26.737,24.824,0.880,2.13E+06
peak171,13.592,24.823,0.878,1.83E+06
peak172,21.784,24.857,0.874,1.01E+06
peak173,22.683,24.910,0.879,1.50E+06
peak174,27.891,24.856,0.880,1.06E+06
peak175,24.201,27.968,1.052,3.69E+06
peak176,27.120,27.954,1.051,3.47E+06
peak177,22.792,27.952,1.050,1.01E+06
peak178,26.129,28.024,1.050,1.29E+06
peak179,26.136,27.916,1.051,7.59E+05
peak180,22.712,25.641,0.863,1.71E+06
peak181,13.795,25.632,0.859,2.28E+06
peak182,10.247,25.638,0.857,2.68E+06
peak183,22.999,25.547,0.976,1.26E+06
peak184,22.106,25.390,1.033,9.26E+05
peak185,22.437,25.802,1.041,1.29E+06
peak186,27.157,25.816,1.042,2.07E+06
peak187,13.725,26.042,1.042,1.33E+06
peak188,23.021,26.154,0.972,1.66E+06
peak189,13.795,26.565,0.958,2.91E+06
peak190,14.119,26.554,0.912,3.55E+06
peak191,27.854,26.574,0.916,1.10E+06
peak192,27.969,26.160,0.880,1.61E+06
peak193,27.118,26.154,0.883,2.90E+06
peak194,26.914,26.185,0.883,2.89E+06
peak195,24.211,26.135,0.881,1.83E+06
peak196,23.782,26.151,0.880,2.88E+06
peak197,25.420,26.135,0.882,4.27E+06
peak198,22.592,26.117,0.884,1.49E+06
peak199,27.171,26.123,0.825,3.94E+06
peak200,24.801,25.534,0.817,5.57E+06
peak201,24.910,25.845,0.737,2.19E+06
peak202,23.991,25.875,0.737,1.43E+06
peak203,10.172,25.855,0.731,1.80E+06
peak204,13.793,25.854,0.732,1.15E+06
peak205,24.867,26.712,0.780,1.23E+06
peak206,23.779,27.109,0.772,2.93E+06
peak207,26.287,27.012,0.771,3.00E+06
peak208,27.917,27.123,0.772,3.59E+06
peak209,24.215,27.172,0.869,2.82E+06
peak210,26.128,27.205,0.867,4.22E+06
peak211,22.547,27.234,0.867,8.72E+05
peak212,23.923,27.761,0.829,1.99E+06
peak213,14.288,27.748,0.830,2.12E+06
peak214,10.099,24.201,0.987,1.54E+06
peak215,13.752,27.764,0.826,9.10E+05
peak216,23.974,13.788,0.749,1.35E+06
peak217,26.017,14.059,0.735,1.25E+06
peak218,26.114,24.890,0.740,2.36E+06
peak219,25.356,24.881,0.739,6.40E+06
peak220,24.190,24.878,0.738,2.88E+06
peak221,22.594,24.874,0.732,1.32E+06
peak222,22.477,24.874,0.736,1.40E+06
peak223,25.617,23.976,0.886,3.16E+06
peak224,26.127,26.718,0.781,2.56E+06
peak225,23.808,27.915,1.053,1.32E+06
peak226,23.968,10.232,0.679,7.23E+05
peak227,27.115,10.048,0.250,1.00E+06
peak228,25.257,13.752,0.748,1.58E+06
peak229,14.273,14.696,0.682,8.01E+06
peak230,13.782,24.823,0.878,1.66E+06
peak231,14.084,23.903,0.986,1.19E+06
peak232,22.726,23.226,0.866,7.78E+06
peak233,23.233,22.709,1.138,4.97E+06
peak234,23.219,22.679,0.881,4.16E+06
peak235,23.192,14.273,0.691,3.44E+06
peak236,26.132,27.093,0.771,2.42E+06
peak237,25.874,13.749,0.749,2.60E+06
peak238,14.278,23.033,1.003,8.37E+05
peak239,22.838,25.555,0.979,1.25E+06
